C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
53   |HD 214599                          |PM*|22 39 44.1841911539 -28 19 32.377252760|339.9341007964744 -28.3256603479888|     ~| 7.315| 6.314|     ~|     ~|K0/1III              |  23 |   0
54   |* ome Sco                          |bC*|16 06 48.4269211 -20 40 09.090235      |241.7017788379 -20.6691917319      | 3.10 | 3.92 | 3.97 | 3.91 | 3.99 |B1V                  | 448 |   0
55   |* eta Oph B                        |*  |17 10 22.636800 -15 43 30.65592        |257.594320000 -15.725182200        |     ~| 3.36 | 3.26 |     ~|     ~|A3(V)                |   7 |   0
56   |HD 207756                          |PM*|21 50 30.7768256529 +32 39 27.349637651|327.6282367735537 +32.6575971215698|     ~| 7.94 | 6.79 |     ~|     ~|K0                   |  11 |   0
57   |HD 115286                          |** |13 17 55.41906 -68 29 44.4032          |199.48091276 -68.49566755          |     ~| 6.81 | 6.76 |     ~|     ~|B9IV                 |  20 |   1
58   |HD 159358                          |*  |17 34 46.3502618113 -11 14 31.195370047|263.6931260908805 -11.2419987139020|     ~| 5.540| 5.535|     ~|     ~|B9V                  |  63 |   0
59   |HD 34358                           |*  |05 15 08.7588369549 -36 39 10.403087213|078.7864951539787 -36.6528897464481|     ~| 7.86 | 6.72 |     ~|     ~|K1II                 |   9 |   0
60   |HD 38524                           |*  |05 47 34.6657513384 +25 34 07.040773088|086.8944406305766 +25.5686224369688|     ~| 7.660| 6.473|     ~|     ~|K1III                |  16 |   0
61   |V* CO UMa                          |LP*|11 09 19.0794910145 +36 18 33.782382773|167.3294978792271 +36.3093839952146| 8.75 | 7.25 | 5.74 |     ~|     ~|M4III                |  47 |   1
62   |V* V926 Cen                        |LP*|12 15 55.5733278700 -54 03 24.520971738|183.9815555327915 -54.0568113810384|     ~| 8.21 | 6.60 |     ~|     ~|M0III                |  10 |   0
63   |* 10 Boo                           |*  |13 58 38.9210098429 +21 41 46.330222532|209.6621708743456 +21.6962028395922|     ~| 5.743| 5.748|     ~|     ~|A0Vs                 |  61 |   0
64   |HD 19092                           |** |03 05 46.39465 +43 42 08.8815          |046.44331103 +43.70246709          |     ~| 7.72 | 6.96 |     ~|     ~|F5                   |  23 |   1
