C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
8893 |HD 102534                          |*  |11 47 41.3930177559 -67 41 32.224528798|176.9224709073162 -67.6922845913328|     ~| 7.81 | 6.76 |     ~|     ~|K1III                |  11 |   0
8894 |HD 197541A                         |*  |20 45 23.851 -30 28 41.54              |311.349379 -30.478206              |     ~| 7.114| 6.785| 7.89 |     ~|~                    |   2 |   0
8895 |* eta01 TrA                        |Be*|16 41 23.1072220583 -68 17 46.041159716|250.3462800919095 -68.2961225443656| 5.41 | 5.791| 5.884|     ~|     ~|B7V                  |  53 |   0
8896 |HD 49148                           |*  |06 46 33.0044413487 -14 31 25.337893101|101.6375185056196 -14.5237049703057|     ~| 6.75 | 6.68 |     ~|     ~|A1IV/V               |   7 |   0
8897 |HD 4732                            |PM*|00 49 13.9504401330 -24 08 11.992922812|012.3081268338875 -24.1366647007811|     ~| 6.84 | 5.90 | 7.09 |     ~|K0III                |  52 |   1
8898 |V* QU Gem                          |LP?|06 49 43.2444766488 +25 29 03.683242531|102.4301853193699 +25.4843564562586|     ~| 8.41 | 6.81 |     ~|     ~|K2-IIIbCH-2Hdel1     |  23 |   0
8899 |V* IS Gem                          |LP*|06 49 41.3137405540 +32 36 24.333374010|102.4221405856418 +32.6067592705582|     ~| 7.015| 5.708|     ~|     ~|K2/4III              |  41 |   0
8900 |HD 209506                          |PM*|22 04 29.9740412029 -25 52 59.709677525|331.1248918383452 -25.8832526882013|     ~| 7.71 | 6.75 |     ~|     ~|G8III                |   8 |   1
8901 |HD 31362                           |*  |04 56 15.5773768901 +24 35 31.986586516|074.0649057370419 +24.5922184962544|     ~| 6.664| 6.324|     ~|     ~|F0                   |  40 |   0
8902 |HD 181255                          |*  |19 20 02.8001614079 -06 37 40.827155016|290.0116673391996 -06.6280075430599|     ~| 8.46 | 6.77 |     ~|     ~|K4III                |   8 |   0
8903 |* alf01 Cap                        |** |20 17 38.8690959065 -12 30 29.571594020|304.4119545662771 -12.5082143316722| 6.14 | 5.34 | 4.27 | 3.49 | 2.94 |G3Ib                 | 133 |   0
8904 |* 52 Her A                         |PM*|16 49 14.2161790088 +45 58 59.930076279|252.3092340792033 +45.9833139100775|     ~| 4.907| 4.826|     ~|     ~|~                    |   5 |   0
8905 |HD 12042                           |PM*|01 56 59.9846404530 -51 45 58.490027380|029.2499360018873 -51.7662472298277|     ~| 6.58 | 6.10 |     ~|     ~|F8.5Fe-0.7           |  92 |   0
8906 |* sig Phe                          |*  |23 47 15.9970144927 -50 13 35.252950570|356.8166542270528 -50.2264591529360|     ~| 5.000| 5.166|     ~|     ~|B3V                  |  60 |   0
8907 |* eps Aur                          |EB*|05 01 58.1290610816 +43 49 23.871349520|075.4922044211734 +43.8232975970890| 3.86 | 3.53 | 2.99 | 2.47 | 2.02 |A9Ia                 | 566 |   0
8908 |* 6 Eri                            |PM*|02 58 05.7330350458 -23 36 21.642543446|044.5238876460243 -23.6060118176240|     ~| 7.148| 5.809|     ~|     ~|K2III                |  22 |   0
8909 |HD 167506                          |*  |18 17 17.7418191910 -38 10 39.752335326|274.3239242466292 -38.1777089820351|     ~| 7.83 | 6.68 |     ~|     ~|G8II                 |  11 |   0
8910 |V* FR Cam                          |LP*|12 00 18.6019847551 +80 51 11.465338132|180.0775082698131 +80.8531848161479| 9.68 | 7.78 | 6.17 |     ~|     ~|M2III                |  47 |   0
8911 |HD 23923                           |*  |03 49 43.5314145097 +23 42 42.671221706|057.4313808937906 +23.7118531171405|     ~| 6.104| 6.153|     ~| 6.18 |B8V                  | 146 |   0
8912 |HD 145788                          |*  |16 12 56.5878433645 -04 13 14.824104492|243.2357826806853 -04.2207844734701|     ~| 6.367| 6.255|     ~|     ~|A0V                  |  53 |   0
8913 |TYC 8450-1201-1                    |PM*|22 55 15.995 -48 29 30.33              |343.816646 -48.491758              |     ~| 7.21 | 6.71 |     ~|     ~|~                    |   3 |   0
8914 |HD 85209                           |*  |09 49 08.9240783181 -43 28 58.162434296|147.2871836596587 -43.4828228984156|     ~| 7.845| 6.543|     ~|     ~|K3III                |   8 |   1
8915 |HD 173383                          |SB*|18 43 16.5730968265 +39 18 00.210785210|280.8190545701102 +39.3000585514471| 9.940| 8.030| 6.440|     ~|     ~|K5                   |  23 |   0
8916 |HD 30182                           |*  |04 44 15.2938264421 -27 34 40.371883375|071.0637242768420 -27.5778810787153|     ~| 8.23 | 6.74 |     ~|     ~|K4III                |  14 |   0
8917 |HD 39718                           |*  |05 52 49.1848512459 -34 33 37.964743496|088.2049368801911 -34.5605457620823|     ~| 7.56 | 6.64 |     ~|     ~|G6/8III              |  12 |   0
8918 |HD 210434                          |PM*|22 10 33.7468199082 -04 16 00.682385694|332.6406117496175 -04.2668562182483|     ~| 6.959| 5.980|     ~|     ~|G8/K0III             |  48 |   0
8919 |HD 136977                          |V* |15 27 26.9680210436 -66 07 17.188480399|231.8623667543484 -66.1214412445554|     ~| 6.888| 6.916|     ~|     ~|B8II/III             |   9 |   0
8920 |HD 89715B                          |*  |10 19 04.7911118479 -64 40 32.812166202|154.7699629660329 -64.6757811572783|     ~| 6.52 | 6.46 |     ~|     ~|~                    |   1 |   0
8921 |HD 198357                          |*  |20 51 00.7582820796 -37 54 47.996780680|312.7531595086651 -37.9133324390779|     ~| 6.889| 5.500|     ~|     ~|K3III                |  29 |   0
8922 |V* V883 Cen                        |EB*|14 08 56.2528178442 -59 16 36.153455505|212.2343867410175 -59.2767092931957| 5.89 | 6.352| 6.339|     ~|     ~|B3III/V              |  62 |   0
8923 |NGC 6167                           |OpC|16 34 38.9 -49 45 32                   |248.6620 -49.7590                  |     ~| 7.58 | 6.7  |     ~|     ~|~                    |  72 |   0
8924 |HD 157772                          |*  |17 30 24.9027137680 -66 52 11.893736983|262.6037613073665 -66.8699704824953|     ~| 6.88 | 6.98 |     ~|     ~|B7/8III              |  10 |   0
8925 |* zet01 Cnc B                      |PM*|08 12 12.8122502523 +17 38 52.145328431|123.0533843760512 +17.6478181467864|     ~| 6.80 | 6.17 |     ~|     ~|~                    | 103 |   0
8926 |HD 173949                          |** |18 44 18.26544 +61 02 53.3168          |281.07610599 +61.04814355          |     ~| 7.203| 6.135|     ~|     ~|G7IV                 |  28 |   1
8927 |HD 134700                          |*  |15 11 49.9780504389 -16 09 34.410417419|227.9582418768286 -16.1595584492831|     ~| 7.94 | 6.67 |     ~|     ~|K1III                |  14 |   0
8928 |HD 171586                          |a2*|18 35 36.4931415510 +04 56 09.559014883|278.9020547564624 +04.9359886152453| 6.52 | 6.53 | 6.46 |     ~|     ~|A0VpSrSi             |  77 |   0
8929 |* 11 Leo                           |PM*|09 38 01.2735444069 +14 20 49.882697180|144.5053064350287 +14.3471896381055|     ~| 7.057| 6.614|     ~|     ~|F2                   |  31 |   0
8930 |HD 119283                          |*  |13 43 57.3459111109 -59 14 09.561375766|205.9889412962955 -59.2359892710461|     ~| 6.46 | 6.49 |     ~|     ~|B8V                  |  20 |   0
8931 |HD 203644                          |PM*|21 22 00.4181763287 +49 23 19.843324202|320.5017424013696 +49.3888453678340|     ~| 6.768| 5.671|     ~|     ~|K0III                |  41 |   0
8932 |V* NR Vir                          |LP*|14 28 56.4588460602 +03 43 10.583472646|217.2352451919177 +03.7196065201794|     ~| 8.47 | 6.85 |     ~|     ~|K4III                |  10 |   0
8933 |HD 27322                           |*  |04 21 51.8051261690 +56 30 22.735027135|065.4658546923707 +56.5063152853154| 6.120| 6.030| 5.920|     ~| 5.79 |A3V                  |  40 |   0
8934 |HD 9811                            |*  |01 37 47.1979242590 +64 44 21.676791181|024.4466580177459 +64.7393546642169|     ~| 7.288| 6.528|     ~|     ~|A6Ia                 |  24 |   0
8935 |HD 63630                           |PM*|07 52 03.8649935467 +45 55 58.760496878|118.0161041397780 +45.9329890269106|     ~| 6.69 | 6.50 |     ~| 6.26 |A3                   |  13 |   0
8936 |HD 43873                           |*  |06 19 06.2707806595 +12 44 48.233563823|094.7761282527478 +12.7467315455063| 6.2  | 6.598| 6.712|     ~|     ~|B8                   |  14 |   0
8937 |HD 101956                          |*  |11 43 55.0905116302 -09 07 56.659838303|175.9795437984590 -09.1324055106397|     ~| 7.92 | 6.87 |     ~|     ~|K0III                |   8 |   0
8938 |HD 99104                           |*  |11 23 21.408 -64 57 16.92              |170.839200 -64.954700              |     ~| 5.27 | 5.39 |     ~|     ~|B5IV                 |   4 |   0
8939 |HD 35971                           |*  |05 28 25.7518197233 +00 01 13.236981698|082.1072992488470 +00.0203436060271| 6.37 | 6.589| 6.633|     ~|     ~|B8/9IV               |  31 |   0
8940 |HD 168443                          |PM*|18 20 03.9331764016 -09 35 44.609316076|275.0163882350066 -09.5957248100211|     ~| 7.62 | 6.92 |     ~|     ~|G6V                  | 292 |   1
8941 |HD 137463                          |*  |15 26 50.3548967962 -20 00 18.287567137|231.7098120699840 -20.0050798797603|     ~| 7.73 | 6.98 |     ~|     ~|A3/5V+K0III          |  15 |   0
8942 |HD 138221                          |*  |15 31 50.2299849204 -32 52 52.013844928|232.9592916038349 -32.8811149569245|     ~| 6.540| 6.488|     ~|     ~|B7V                  |  43 |   0
8943 |HD 156838                          |*  |17 24 01.0753005909 -62 51 50.953595041|261.0044804191288 -62.8641537764002| 4.8  | 5.524| 5.676|     ~|     ~|B2III                |  48 |   0
8944 |NGC 2439                           |OpC|07 40 46.6 -31 41 38                   |115.1940 -31.6940                  |     ~| 7.31 | 6.9  |     ~|     ~|~                    | 132 |   0
8945 |HD 187279                          |*  |19 47 59.6430840610 +31 30 22.596511323|296.9985128502543 +31.5062768087009| 7.05 | 6.901| 6.795|     ~|     ~|A0                   |  17 |   0
8946 |* 24 Lyn                           |PM*|07 43 00.4155061 +58 42 37.295002      |115.7517312754 +58.7103597228      |     ~| 5.024| 4.947|     ~|     ~|A3IVn                |  72 |   0
8947 |HD 134047                          |*  |15 07 40.3228981930 +05 29 53.008619428|226.9180120758043 +05.4980579498412|     ~| 7.10 | 6.17 |     ~|     ~|G7IIIa:Fe-0.5:       |  34 |   0
8948 |V* TV Gem                          |s*r|06 11 51.4146886962 +21 52 05.662130069|092.9642278695676 +21.8682394805747|10.58 | 8.81 | 6.56 | 4.65 | 3.17 |M0-M1.5Iab           | 165 |   0
8949 |HD 199597                          |V* |20 57 13.0956864712 +35 18 42.207363832|314.3045653602966 +35.3117242677311|     ~| 8.08 | 6.60 |     ~|     ~|K2                   |  14 |   0
8950 |* 35 Cru                           |cC*|12 31 40.3301092383 -59 25 26.122369782|187.9180421218262 -59.4239228804949| 6.60 | 6.19 | 5.53 |     ~|     ~|F7Ib/II              | 134 |   0
8951 |* zet Cen                          |SB*|13 55 32.38565 -47 17 18.1482          |208.88494020 -47.28837451          | 1.42 | 2.33 | 2.55 | 2.69 | 2.89 |B2.5IV               | 168 |   0
8952 |HD 169033                          |Be*|18 23 12.1625739235 -12 00 53.117483802|275.8006773913480 -12.0147548566118| 5.46 | 5.697| 5.699|     ~|     ~|B5V                  |  83 |   0
8953 |HD 167230                          |*  |18 15 40.1848719546 -33 05 29.654347331|273.9174369664776 -33.0915706520363|     ~| 6.93 | 6.93 |     ~|     ~|B9V                  |  14 |   0
8954 |V* V2100 Cyg                       |a2*|19 59 15.3471376090 +52 03 20.491241734|299.8139464067040 +52.0556920115927| 5.29 | 5.954| 6.125|     ~|     ~|B5III                |  54 |   0
8955 |HD 189921                          |*  |20 02 10.3230470130 +10 44 20.210992133|300.5430126958875 +10.7389474978148|     ~| 6.883| 6.984|     ~|     ~|B5V                  |  17 |   0
8956 |HD 209905                          |*  |22 06 38.8830696308 +02 26 22.016745010|331.6620127901284 +02.4394490958361|     ~| 6.424| 6.508|     ~|     ~|B9IV                 |  24 |   0
8957 |* psi Cyg                          |SB*|19 55 37.7879400302 +52 26 20.139603026|298.9074497501259 +52.4389276675072|     ~| 5.12 | 5.02 |     ~|     ~|A4Vn                 |  69 |   0
8958 |HD 133049                          |*  |15 07 08.2025801982 -71 54 17.828847797|226.7841774174926 -71.9049524577214|     ~| 8.110| 6.500|     ~|     ~|K4III                |  15 |   0
8959 |HD 62595                           |*  |07 43 06.8063386135 -38 51 49.243032925|115.7783597442230 -38.8636786202569|     ~| 7.92 | 6.91 |     ~|     ~|G6/8III              |  21 |   0
8960 |HD 177749A                         |PM*|19 05 47.7041312375 +06 32 48.530369545|286.4487672134896 +06.5468139915403|     ~| 7.38 | 6.91 | 7.82 |     ~|~                    |   4 |   0
8961 |* 37 Aql                           |*  |19 35 07.2579257867 -10 33 37.600995143|293.7802413574447 -10.5604447208730|     ~| 6.213| 5.120|     ~|     ~|G8.5IIIa             |  67 |   0
8962 |HD 220057                          |SB*|23 20 00.6491996317 +61 08 59.443712029|350.0027049984656 +61.1498454755636| 6.37 | 6.948| 6.944|     ~|     ~|B5                   |  74 |   0
8963 |HD 221293                          |*  |23 30 39.5609020831 +38 39 44.110001158|352.6648370920128 +38.6622527780994|     ~| 7.065| 6.059|     ~|     ~|G9III                |  19 |   0
8964 |* 32 Cas                           |V* |01 11 41.4019366088 +65 01 07.862621424|017.9225080692035 +65.0188507281734|     ~| 5.487| 5.564|     ~|     ~|B9IV                 |  46 |   0
8965 |HD 119700                          |*  |13 47 34.1967863056 -71 13 52.097938761|206.8924866096068 -71.2311383163226|     ~| 6.78 | 6.83 |     ~|     ~|B9V                  |  15 |   0
8966 |HD 50002                           |*  |06 44 55.6462121904 -70 26 01.525838016|101.2318592174602 -70.4337571772267|     ~| 7.433| 6.091|     ~|     ~|K3III                |  14 |   0
8967 |HD 36162                           |*  |05 30 26.1638150438 +15 21 37.613111704|082.6090158960160 +15.3604480865844|     ~| 6.035| 5.934|     ~|     ~|A3Vn                 |  44 |   0
8968 |HD 63584                           |*  |07 44 13.0035735842 -69 49 17.802563730|116.0541815566008 -69.8216118232582|     ~| 6.119| 6.154|     ~|     ~|A0IV/V               |  24 |   0
8969 |* 6 Cep                            |Be*|21 19 22.2202464 +64 52 18.682115      |319.8425843600 +64.8718561431      | 4.56 | 5.14 | 5.18 |     ~|     ~|B3IVe                | 157 |   0
8970 |* ksi Leo                          |PM*|09 31 56.7402898522 +11 17 59.363823394|142.9864178743843 +11.2998232842761|     ~| 6.015| 4.963|     ~|     ~|G9.5III              | 107 |   0
8971 |HD 213835                          |*  |22 33 34.6165981679 +40 49 08.473807137|338.3942358256995 +40.8190205019824|     ~| 7.77 | 6.53 |     ~|     ~|K0                   |  11 |   1
8972 |HD 202987                          |*  |21 17 14.2469273298 +55 47 52.804265354|319.3093621972076 +55.7980011848205|     ~| 7.430| 5.975|     ~|     ~|K3III                |  31 |   0
8973 |HD 24522                           |V* |03 53 30.5528625567 -14 58 14.013130920|058.3773035939864 -14.9705592030333|     ~| 8.50 | 6.92 |     ~|     ~|K4III                |   9 |   0
8974 |HD 169487                          |*  |18 22 11.8014597305 +51 32 30.852637997|275.5491727488769 +51.5419035105548|     ~| 6.97 | 6.84 |     ~|     ~|A2                   |   8 |   0
8975 |* 48 Cas B                         |PM*|02 01 57.280658 +70 54 24.93175        |030.488669408 +70.906925486        |     ~| 7.23 | 6.69 |     ~|     ~|F2V                  |   7 |   0
8976 |* k01 Pup                          |*  |07 38 49.3799455697 -26 48 06.351393619|114.7057497732071 -26.8017642760053| 3.76 | 4.33 | 4.50 |     ~|     ~|B6V                  |  61 |   0
8977 |HD 121439                          |*  |14 00 32.8115059213 -78 35 23.929106483|210.1367146080054 -78.5899803073564| 5.95 | 6.084| 6.079|     ~|     ~|B9III                |  25 |   0
8978 |NAME HD 62264AB                    |** |07 43 05.4194699527 +00 11 21.603120485|115.7725811248029 +00.1893342001347|     ~| 7.47 | 6.31 |     ~|     ~|~                    |   0 |   0
8979 |* bet Vol                          |PM*|08 25 44.1947206 -66 08 12.804954      |126.4341446692 -66.1368902650      |     ~| 4.896| 3.759|     ~|     ~|K2III                |  84 |   0
8980 |HD 205096                          |*  |21 34 17.1575125554 -42 55 28.847025165|323.5714896356474 -42.9246797292125|     ~| 7.429| 6.324|     ~|     ~|K1IIICNII            |  12 |   0
8981 |* tau Cas                          |PM*|23 47 03.4547470384 +58 39 07.153067168|356.7643947793268 +58.6519869631021|     ~| 5.993| 4.873|     ~|     ~|K1-IIIa              | 101 |   0
8982 |HD 76668                           |PM*|08 56 19.8408106205 -37 07 20.945247423|134.0826700442521 -37.1224847909508|     ~| 7.47 | 6.87 |     ~|     ~|G0V                  |  32 |   0
8983 |* bet Boo                          |Er*|15 01 56.7623786 +40 23 26.040607      |225.4865099108 +40.3905668353      | 5.21 | 4.47 | 3.52 | 2.85 | 2.37 |G8IIIaFe-0.5         | 245 |   0
8984 |HD 976                             |PM*|00 14 09.0199194408 +26 15 31.695068250|003.5375829976698 +26.2588041856251|     ~| 7.51 | 6.99 |     ~|     ~|F7IV                 |  25 |   0
8985 |HD 66242                           |*  |08 02 25.9695253039 -06 20 13.686387980|120.6082063554330 -06.3371351077721|     ~| 6.930| 6.325|     ~|     ~|F8/G0IV              |  59 |   0
8986 |HD 180450                          |*  |19 15 24.8593702604 +30 31 34.975961400|288.8535807094184 +30.5263822114999| 9.55 | 7.52 | 5.85 |     ~|     ~|M0III                |  37 |   0
8987 |* 68 Aqr                           |PM*|22 47 33.1236201260 -19 36 48.161934608|341.8880150838583 -19.6133783151689|     ~| 6.20 | 5.26 |     ~|     ~|G8III                |  66 |   0
8988 |* 30 Cap                           |*  |21 17 57.2869518490 -17 59 06.506777557|319.4886956327043 -17.9851407715437|     ~| 5.263| 5.383|     ~|     ~|B5II/III             |  85 |   0
8989 |HD 221583                          |*  |23 32 29.2689557968 +72 00 03.379631912|353.1219539824868 +72.0009387866421|     ~| 6.82 | 6.73 |     ~|     ~|A2                   |   4 |   0
8990 |HD 170525                          |PM*|18 33 29.47086 -58 42 31.6153          |278.37279525 -58.70878203          |     ~| 7.123| 6.445|     ~|     ~|G3/5V                |  43 |   0
8991 |HD 218687                          |PM*|23 09 57.0998338792 +14 25 35.596025646|347.4879159744968 +14.4265544515682|     ~| 7.14 | 6.54 |     ~|     ~|G0V                  |  69 |   0
8992 |V* Y Lyn                           |S* |07 28 11.6139802943 +45 59 26.215265764|112.0483915845595 +45.9906153516010| 9.88 | 8.71 | 6.98 | 4.25 | 1.96 |M6S                  | 137 |   0
8993 |HD 941                             |PM*|00 13 45.4981717449 -23 12 53.216409914|003.4395757156038 -23.2147823360872|     ~| 7.99 | 6.87 |     ~|     ~|K1IIICNIV            |  16 |   0
8994 |* tau02 Eri                        |PM*|02 51 02.3218611 -21 00 14.465462      |042.7596744212 -21.0040181839      | 6.28 | 5.67 | 4.77 | 4.07 | 3.60 |K0III                |  82 |   0
8995 |HD 118349B                         |PM*|13 36 48.3161562976 -26 29 52.724168689|204.2013173179068 -26.4979789357469|     ~| 6.96 | 6.72 |     ~|     ~|F0Vn                 |  34 |   0
8996 |HD 218396                          |El*|23 07 28.7156905667 +21 08 03.302133882|346.8696487106946 +21.1342505927450|     ~| 6.21 | 5.953|     ~|     ~|F0+VkA5mA5           | 991 |   0
8997 |HD 99606                           |*  |11 27 56.8985497268 +44 52 42.566921067|171.9870772905283 +44.8784908114076|     ~| 8.00 | 6.88 |     ~|     ~|K0                   |   9 |   0
8998 |* zet01 Cnc A                      |PM*|08 12 12.7218701694 +17 38 51.516139714|123.0530077923725 +17.6476433721428|     ~| 5.85 | 5.31 |     ~|     ~|~                    | 117 |   0
8999 |* C Vel                            |*  |08 34 43.5970332171 -49 56 39.135867631|128.6816543050712 -49.9442044076752| 7.72 | 6.34 | 5.01 | 4.04 | 3.36 |K1.5Ib               |  37 |   0
9000 |HD 61219                           |*  |07 39 12.0052011254 +24 13 21.113988624|114.8000216713557 +24.2225316635068| 6.240| 6.200| 6.180|     ~|     ~|A2V                  |  39 |   0
9001 |V* NU Pav                          |LP*|20 01 44.7454026 -59 22 33.217740      |300.4364391775 -59.3758938167      | 7.97 | 6.66 | 5.13 |     ~|     ~|M6III                |  64 |   0
9002 |HD 185435                          |*  |19 37 40.8162052056 +35 01 21.132297914|294.4200675216902 +35.0225367494205| 9.920| 7.990| 6.420|     ~|     ~|K5                   |  10 |   0
9003 |HD 167666                          |*  |18 17 24.0865399657 -28 39 07.440700818|274.3503605831904 -28.6520668613382|     ~| 6.350| 6.168|     ~|     ~|A5V                  |  28 |   0
9004 |* 58 UMa                           |PM*|11 30 31.1313191502 +43 10 23.671184907|172.6297138297926 +43.1732419958074|     ~| 6.450| 5.942|     ~|     ~|F4V                  |  95 |   0
9005 |HD 69976                           |*  |08 22 44.0698274443 +60 37 52.451605546|125.6836242810181 +60.6312365570961| 8.110| 7.370| 6.390|     ~|     ~|K0III                |  30 |   0
9006 |HD 178628                          |*  |19 11 01.9045654037 -39 00 16.934415510|287.7579356891819 -39.0047040043084|     ~| 6.340| 6.344|     ~|     ~|B7II/III             |  37 |   0
9007 |HD 88013                           |*  |10 08 01.6440273297 -37 20 00.333353702|152.0068501138738 -37.3334259315839|     ~| 7.314| 6.327|     ~|     ~|K0III                |  12 |   0
9008 |HD 16548                           |PM*|02 39 00.8090152729 -08 55 40.449833229|039.7533708969704 -08.9279027314525|     ~| 7.69 | 6.98 |     ~|     ~|G5V                  |  57 |   0
9009 |HD 211024                          |PM*|22 14 47.1691766948 -24 00 16.931612699|333.6965382362282 -24.0047032257498|     ~| 7.26 | 6.88 |     ~|     ~|F3IV/V               |  21 |   0
9010 |HD 43583                           |*  |06 17 33.3132343109 +14 03 31.244302857|094.3888051429621 +14.0586789730159|     ~| 6.529| 6.570|     ~|     ~|A0V                  |  36 |   0
9011 |HD 4790                            |*  |00 49 54.9552936943 -00 13 26.892906612|012.4789803903928 -00.2241369185032|     ~| 8.06 | 6.64 |     ~|     ~|K4III                |  15 |   0
9012 |* gam Tuc                          |PM*|23 17 25.7507806263 -58 14 08.707239934|349.3572949192762 -58.2357520110929| 4.35 | 4.37 | 3.98 | 3.57 | 3.33 |F4V                  | 154 |   0
9013 |* 54 Leo                           |** |10 55 36.79658 +24 44 58.9823          |163.90331908 +24.74971730          |     ~| 4.34 | 4.32 |     ~|     ~|A1                   |  23 |   0
9014 |* H Pup                            |PM*|07 03 53.6007468540 -49 35 02.180790164|105.9733364452250 -49.5839391083788|     ~| 5.045| 4.925|     ~|     ~|A4IV                 |  43 |   0
9015 |HD 61435                           |** |07 36 26.1129997 -54 11 13.999477      |114.1088041654 -54.1872220769      |     ~| 6.88 | 6.84 |     ~|     ~|A0V                  |  12 |   1
9016 |HD 190580                          |*  |20 08 09.5490418003 -52 34 40.067298269|302.0397876741678 -52.5777964717414|     ~| 7.16 | 6.46 |     ~|     ~|G3V                  |  26 |   0
9017 |HD 33116                           |V* |05 05 00.6063795641 -54 24 26.647285241|076.2525265815172 -54.4074020236781|     ~| 7.792| 6.261|     ~|     ~|M2III                |  20 |   0
9018 |HD 91955                           |** |10 36 35.3872035408 -28 46 18.318700680|159.1474466814202 -28.7717551946332|     ~| 6.91 | 6.85 |     ~|     ~|A2V                  |  20 |   1
9019 |HD 49147                           |*  |06 46 39.0160572516 -10 06 26.488495374|101.6625669052150 -10.1073579153817|     ~| 5.605| 5.646|     ~|     ~|B9.5V                |  52 |   0
9020 |HD 26979                           |PM*|04 14 19.8578782371 -38 15 36.113209852|063.5827411593214 -38.2600314471811|     ~| 7.92 | 6.93 |     ~|     ~|G8III                |  12 |   0
9021 |HD 15471                           |*  |02 28 35.4329132402 -31 06 08.809238256|037.1476371385007 -31.1024470106266|     ~| 7.216| 6.105|     ~|     ~|K2IIICNII            |  28 |   0
9022 |* 42 Cet A                         |*  |01 19 48.2959448332 -00 30 32.492356804|019.9512331034717 -00.5090256546678|     ~| 7.49 | 6.45 |     ~|     ~|G9III-IV             |  15 |   0
9023 |HD 7902                            |Em*|01 19 51.7354450531 +58 12 29.321754740|019.9655643543879 +58.2081449318722| 7.00 | 7.37 | 6.96 |     ~|     ~|B6Ib                 |  89 |   0
9024 |HD 197954                          |*  |20 47 03.5614526894 -02 29 12.878699103|311.7648393862060 -02.4869107497509|     ~| 7.845| 6.260|     ~|     ~|K4III                |  12 |   0
9025 |HD 193010                          |*  |20 16 54.9857778372 +31 30 18.757737517|304.2291074076551 +31.5052104826437|     ~| 6.903| 6.916|     ~|     ~|A0III                |  13 |   0
9026 |HD 208510                          |*  |21 53 11.9483032990 +71 59 22.869294450|328.2997845970790 +71.9896859151251|     ~| 6.96 | 6.99 |     ~|     ~|B9                   |   7 |   0
9027 |* 1 Vul                            |SB*|19 16 13.0378496330 +21 23 25.531302636|289.0543243734708 +21.3904253618432| 4.18 | 4.72 | 4.77 | 4.76 | 4.83 |B4IV                 | 116 |   0
9028 |HD 11421                           |*  |01 51 26.3564362461 -39 50 09.369934229|027.8598184843587 -39.8359360928414|     ~| 7.54 | 6.43 |     ~|     ~|K1IIICNII            |   8 |   0
9029 |HD 58766                           |*  |07 25 42.9799403574 -31 44 19.393536030|111.4290830848224 -31.7387204266751| 5.39 | 6.124| 6.297|     ~|     ~|B2/3III              |  52 |   0
9030 |HD 139000                          |*  |15 38 02.1747859603 -54 31 19.304185516|234.5090616081678 -54.5220289404212| 7.24 | 7.13 | 6.99 |     ~|     ~|A1/2V                |   9 |   0
9031 |HD 131446                          |** |14 52 03.2428328595 +46 28 35.828705925|223.0135118035814 +46.4766190849793|     ~| 8.01 | 6.75 |     ~|     ~|K0                   |  15 |   0
9032 |* pi. Gem                          |V* |07 47 30.3237458676 +33 24 56.513672181|116.8763489411151 +33.4156982422725| 8.69 | 6.74 | 5.14 |     ~|     ~|M0III                |  58 |   0
9033 |* 35 UMa                           |*  |10 29 54.4368636066 +65 37 34.434348862|157.4768202650276 +65.6262317635729|     ~| 7.463| 6.309|     ~|     ~|K2III:               |  33 |   0
9034 |HD 122200                          |*  |13 58 55.41525 +53 06 23.3056          |209.73089689 +53.10647377          |     ~| 6.990| 6.886|     ~|     ~|A2                   |  13 |   1
9035 |HD 207119                          |*  |21 45 12.3983652707 +52 16 03.266100282|326.3016598552945 +52.2675739167450|     ~| 8.254| 6.369|     ~|     ~|K3IIBa0.5            |  46 |   0
9036 |HD 4939                            |*  |00 51 19.8710226841 -09 24 19.953154981|012.8327959278503 -09.4055425430504|     ~| 7.34 | 6.88 |     ~|     ~|F3/5V                |  25 |   0
9037 |* 54 Leo B                         |PM*|10 55 37.2483578167 +24 44 56.547759730|163.9052014909031 +24.7490410443695|     ~| 6.36 | 6.29 |     ~|     ~|A2Vn                 |  35 |   0
9038 |HD 24640                           |Ce*|03 56 28.6909175 +35 04 51.234920      |059.1195454896 +35.0808985889      | 4.7  | 5.426| 5.488|     ~|     ~|B1.5V                | 128 |   0
9039 |HD 207684                          |*  |21 48 15.0152457923 +65 10 14.448925590|327.0625635241344 +65.1706802571084|     ~| 8.01 | 6.73 |     ~|     ~|K0                   |   9 |   0
9040 |HD 87141                           |*  |10 04 36.3228504340 +53 53 30.173493630|151.1513452101416 +53.8917148593416|     ~| 6.191| 5.708|     ~|     ~|F5V                  | 118 |   0
9041 |* 11 Sge                           |*  |19 57 45.4456105492 +16 47 20.974389627|299.4393567106215 +16.7891595526741| 5.31 | 5.480| 5.534|     ~|     ~|B9III                |  68 |   0
9042 |* i Dra                            |LP?|13 51 25.9393781 +64 43 23.772696      |207.8580807421 +64.7232701933      | 8.12 | 6.23 | 4.66 | 3.05 | 1.69 |M3.5III              | 114 |   0
